objectid,placeid,city,state,year,dockid,docknm
295,HI0072,Honolulu,HI,2018,111,Hawaii Bikibike
296,IA0073,Des Moines,IA,2018,14,Des Moines B-cycle
297,ID0075,Boise,ID,2018,36,Boise Green Bike
298,ID0076,Hailey,ID,2018,35,MR Bike Share
299,IL0077,Aurora,IL,2018,95,Aurora
300,IL0078,Bloomington,IL,2018,100,Normal (Bikeshare 309)
301,IL0079,Chicago,IL,2018,60,Divvy
302,IL0080,Peoria,IL,2018,107,Peoria
303,IN0082,Carmel,IN,2018,64,Carmel Bike Share
304,IN0083,Columbus,IN,2018,86,columBike
305,IN0087,Indianapolis,IN,2018,48,Indiana Pacers Bikeshare
306,KS0090,Topeka,KS,2018,34,Topeka Metro Bikes
307,KS0091,Wichita,KS,2018,89,Wichita
308,KY0093,Louisville,KY,2018,102,Lou Velo
309,LA0094,New Orleans,LA,2018,109,New Orleans Bikeshare
310,MA00103,Marlborough,MA,2018,132,"City of Marlborough, MA"
311,MA00111,Salem,MA,2018,108,Salem
312,MA00249,Amherst,MA,2018,139,ValleyBike
313,MA0098,Boston,MA,2018,1,Hubway (03/2018 re-launched as Blue Bikes)
314,MD00118,Boyds,MD,2018,134,Montgomery Parks
315,MD00119,College Park,MD,2018,97,College Park
316,MD00124,Columbia,MD,2018,141,Howard County Bikeshare
317,MI00125,Ann Arbor,MI,2018,4,arborbike
318,MI00126,Battle Creek,MI,2018,49,Battle Creek B-cycle
319,MI00127,Dearborn,MI,2018,103,Dearborn
320,MI00128,Detroit,MI,2018,101,Mo Go
321,MN00132,Minneapolis,MN,2018,25,Nice Ride Minnesota (became partially dockless in 2018)
322,MO00137,Kansas City,MO,2018,18,Kansas City B-cycle
323,NC00139,Charlotte,NC,2018,13,Charlotte B-cycle (became JoyRides Sep-2020)
324,NC00143,Winston-Salem,NC,2018,105,Winston-Salem
325,ND00144,Fargo,ND,2018,51,Great Rides
326,NE00145,Lincoln,NE,2018,120,BikeLNK
327,NE00146,Omaha,NE,2018,16,Heartland B-cycle
328,NH00147,Manchester,NH,2018,104,Manchester
329,NH00148,Portsmouth,NH,2018,87,Portsmouth
330,NJ00149,Hoboken,NJ,2018,2,Hudson Bike Share (now part of CitiBike)
331,NJ00151,Morristown,NJ,2018,130,Morris Moves
332,NV00154,Las Vegas,NV,2018,78,RTC Bikeshare
333,NY00156,Albany,NY,2018,113,CDPHP
334,NY00157,Buffalo,NY,2018,76,Reddy Bikes
335,NY00159,Long Beach,NY,2018,55,"Sobi Long Beach, NY"
336,NY00160,New York,NY,2018,3,Citi Bike
337,OH00164,Cincinnati,OH,2018,57,Cincy RedBike Bike
338,OH00165,Cleveland,OH,2018,79,UH Bikes
339,OH00166,Columbus,OH,2018,58,COGO
340,OH00167,Dayton,OH,2018,47,Link Dayton B-cycle
341,OH00171,Toledo,OH,2018,126,ToleGo
342,OK00173,Oklahoma City,OK,2018,40,Spokies
343,OK00175,Tulsa,OK,2018,"62, 123","Townies, This Machine Tulsa"
344,OR00175,Ashland,OR,2018,68,Zagster Jackson County
345,OR00176,Corvallis,OR,2018,94,Corvallis
346,OR00177,Eugene,OR,2018,112,"Eugene (JUMP, operator of Eugene bikeshare, acquired by LIME 06/2020)"
347,OR00178,Medford,OR,2018,68,Zagster Jackson County
348,OR00179,Portland,OR,2018,74,BikeTown Portland
349,PA00180,Harrisburg,PA,2018,122,Harrisburg
350,PA00181,Philadelphia,PA,2018,43,Inde'go
351,PA00182,Pittsburgh,PA,2018,29,Healthy Ride (became POGOH in 2022)
352,SC00184,Charleston,SC,2018,84,Holy Spokes
353,SC00185,Greenville,SC,2018,44,Greenville B-cycle
354,SC00186,Rock Hill,SC,2018,127,Comporium
355,SC00187,Spartanburg,SC,2018,23,Spartanburg B-cycle
356,SD00188,Rapid City,SD,2018,30,Rapid City B-cycle
357,TN00189,Chattanooga,TN,2018,54,Bike Chattanooga
358,TN00191,Memphis,TN,2018,118,Explore
359,TN00192,Nashville,TN,2018,21,Nashville B-cycle
360,TX00194,Austin,TX,2018,53,Austin B-cycle
361,TX00195,Corpus Christi,TX,2018,92,Corpus Christi
362,TX00198,El Paso,TX,2018,8,El Paso B-cycle
363,TX00199,Fort Worth,TX,2018,10,Fort Worth B-cycle
364,TX00201,Houston,TX,2018,17,Houston B-cycle
365,TX00203,McAllen,TX,2018,28,McAllen B-cycle (RGV B-cycle)
366,TX00205,San Antonio,TX,2018,22,San Antonio B-cycle
367,UT00210,Salt Lake City,UT,2018,15,GreenBikes
368,VA00215,Blacksburg,VA,2018,125,ROAM NRV
369,VA00217,Danville,VA,2018,133,"City of Danville, VA"
370,VA00220,Richmond,VA,2018,136,RVA Bike Share
371,VA00221,Roanoke,VA,2018,106,Roanoke
372,VT00223,Burlington,VT,2018,114,Greenride
373,WI00228,Madison,WI,2018,20,Madison B-cycle
374,WI00229,Milwaukee,WI,2018,50,Bublr Bikes
375,WI00230,Superior,WI,2018,131,Superior
376,WY00231,Jackson,WY,2018,115,START
377,AL002,Huntsville,AL,2019,88,"Huntsville (became PACE, hybrid dockless, in 2018)"
